efficiency_class,starting_torque_category,manufacturer,poles,power_band,n_samples,r1_a,r1_b,r1_r2,r1_median_pu,r1_mad_pu,x1_a,x1_b,x1_r2,x1_median_pu,x1_mad_pu,r2_rated_a,r2_rated_b,r2_rated_r2,r2_rated_median_pu,r2_rated_mad_pu,r20_a,r20_b,r20_r2,r20_median_pu,r20_mad_pu,x2_rated_a,x2_rated_b,x2_rated_r2,x2_rated_median_pu,x2_rated_mad_pu,x20_a,x20_b,x20_r2,x20_median_pu,x20_mad_pu,r_m_a,r_m_b,r_m_r2,r_m_median_pu,r_m_mad_pu,x_m_a,x_m_b,x_m_r2,x_m_median_pu,x_m_mad_pu
IE2,N,WEG,6,<1kW,60,0.14036851159594554,-0.1393137941728513,0.3308198989373218,0.06055153333462772,0.01022875112161832,0.005424998134844827,0.33910370013442276,0.48519485288624076,0.038544625228607805,0.007780646414351004,0.13505096714196924,-0.15801901867586643,0.4526324979241537,0.05639135878995389,0.0059354025903139915,0.022650776410113677,0.053656578096959784,0.07799235956423511,0.030893900729169428,0.002416356935560568,0.22996885720026503,-0.0877028640890472,0.13050536796789813,0.14730820591561233,0.01545714910761703,0.005424998134844827,0.33910370013442276,0.48519485288624076,0.038544625228607805,0.007780646414351004,730.4787546569981,-0.72673723904898,0.4078957584899743,12.522150113279583,8.209197353296755,0.027164997771427505,0.5600078213016537,0.8534383607317192,0.6857902841843077,0.21178556318295194
,,,6,1-10kW,50,0.2644810629258159,-0.27780346200585027,0.316295656993719,0.023834098590035303,0.0033781610621471357,0.04634092318414396,-0.011461835184526661,0.008845140496114512,0.0423103347750598,0.0019748862341344084,0.14041967308062656,-0.23105946840816607,0.4786607550795783,0.01951511271419237,0.002473252687766705,0.014273244739835753,0.06917549881320455,0.9865980720104585,0.02523940916146844,0.001651934321446745,0.8074545504621904,-0.2477167914447383,0.4988006062982251,0.09682001582524546,0.011566140053879792,0.04634092318414396,-0.011461835184526661,0.008845140496114512,0.0423103347750598,0.0019748862341344084,36.1228169654507,0.002257828414071777,0.016170982731377292,36.441163765805626,0.7799682741360172,1.6728917529340221,-0.057557071435762816,0.8524194471168065,1.0504842596203665,0.035025806251053226
IE3,Normal torque (IEC design N),WEG,2,1-10kW,44,0.09042303035648054,-0.1485407313252569,0.3739334617952492,0.027558524364586383,0.0037373495037240426,0.026528313503628814,0.048361643589346706,0.09019320506657913,0.04002695868715636,0.0025579300145273237,0.818818008584547,-0.45206842787763823,0.6190984026085788,0.020885070245040573,0.006750492050915229,0.027786613908621017,-0.02540575189875611,0.017111296054476477,0.022233589543660115,0.002522874960600177,0.05961622570171837,0.02352487960253437,0.09532831245211959,0.0730462264686994,0.002699740403244437,0.026528313503628814,0.048361643589346706,0.09019320506657913,0.04002695868715636,0.0025579300145273237,7.181604001321202,0.0953510138617844,0.1484490333194769,15.576656246549184,1.7619008632632953,0.5311544843851628,0.13872898485292004,0.39468236740258333,1.669600214468618,0.17003118642284343
IE1,Normal torque (IEC design N),WEG,2,1-10kW,43,0.1223313692363543,-0.13160064351008152,0.22500222847167428,0.04191372865031862,0.005892646454305282,0.010398915520614125,0.1520045129441886,0.423012080346053,0.037236540360478285,0.0044822895242945734,0.8336611789314649,-0.42838777785889787,0.5535936335858691,0.02317773341974417,0.007632945123778618,0.039458096394361084,-0.05771868942327561,0.13369541107266114,0.024387110103230733,0.001957440955115932,0.11719032984573592,-0.055440686770627065,0.04987607902846447,0.07427746750031523,0.010560956796907231,0.010398915520614125,0.1520045129441886,0.423012080346053,0.037236540360478285,0.0044822895242945734,1.1635675138599464,0.29151162808812453,0.4714476383911326,12.669619282136662,3.0590016717145954,0.7071160830232468,0.09548005823471588,0.11468984993031028,1.604330130849088,0.26854191553967155
IE2,N,WEG,2,<1kW,38,0.05794152795972335,-0.0682349869443951,0.9874031437371017,0.0418259029769209,0.004323282616325558,0.006245092672549156,0.27370538912765635,0.47714093746872377,0.027820013973035237,0.0051139654919520085,0.016716423527757766,0.17314054103548468,0.377065336630388,0.04597241989316371,0.0061800105064968094,0.0300140628692017,0.01767650554459468,0.0064827078646242375,0.03354398958794564,0.00300727159750816,0.014391687737588454,0.3031871319575544,0.8077666634633157,0.07581697673749623,0.01676311918869189,0.006245092672549156,0.27370538912765635,0.47714093746872377,0.027820013973035237,0.0051139654919520085,19.923793091842004,-0.14529958875629698,0.9446323617051523,7.892917661419617,1.056929340730882,0.0552268981852146,0.5409957146084439,0.8836525521999271,1.2880138522687126,0.3392856873339578
IE1,Normal torque (IEC design N),WEG,4,1-10kW,33,0.070821640875156,-0.05849865983662084,0.0608306524439991,0.04437254424542837,0.005042234803159802,0.014233742231619167,0.11499892173666725,0.3989805354590207,0.03654413307932257,0.00319025672143769,0.2141913415882504,-0.25997737062749626,0.29635430615643843,0.025673232677867055,0.007470300385372469,0.06122330627981813,-0.11415567177370776,0.1791071395732382,0.025724465045882283,0.003331301502332455,0.06485499123657117,0.03708561195601913,0.03634254166709139,0.08888700107040139,0.008992474186468383,0.014233742231619167,0.11499892173666725,0.3989805354590207,0.03654413307932257,0.00319025672143769,1.6321294874022543,0.27139912702404906,0.5512255035448476,16.607517935116924,2.329995874031832,0.2856687406711964,0.18830102188290737,0.7216288147026322,1.3587422911963745,0.19587773720807755
IE2,Normal torque (IEC design N),WEG,4,1-10kW,32,0.05748754174486296,-0.06854662819863738,0.052618996284694686,0.034982461120837444,0.005206739493119698,0.017147855095894057,0.09752685585826547,0.27048294237910053,0.038917318605042814,0.003286162504583169,0.11010198736665534,-0.19808780048715854,0.16575432737218243,0.021297023546142914,0.005374893494281045,0.020345206889057287,0.007552326911818016,0.0008264182524182484,0.02185566750943957,0.003016559059842435,0.07051261324207399,0.0179803558599577,0.008412810714644725,0.08235037935650133,0.007476754617801333,0.017147855095894057,0.09752685585826547,0.27048294237910053,0.038917318605042814,0.003286162504583169,2.547096554501238,0.24890497950794108,0.38060650865393264,19.141986808140686,3.5941896850227693,0.29525649037069435,0.18387838166379047,0.47809532424248236,1.3012294902381616,0.1546422653896944
IE3,Normal torque (IEC design N),WEG,6,1-10kW,31,0.0316068364017203,-0.026638862324503302,0.0014077733028772244,0.022408383218970974,0.009246495646077161,0.04449863968339901,-0.016551516108819542,0.031397815785446426,0.038562538250367054,0.001719357702697745,0.041182131683873156,-0.08729077217489646,0.21517002092672965,0.020481257943443246,0.0016916646424865525,0.04186170483367803,-0.0964295993462181,0.16198229999080505,0.020022804488620444,0.0023007805593470987,0.10559765305436218,-0.002962588340320055,0.0003238498937623291,0.10610675869133793,0.009309488434790528,0.04449863968339901,-0.016551516108819542,0.031397815785446426,0.038562538250367054,0.001719357702697745,17.206159066086933,0.03716940771835112,0.15957870120177842,23.235753257717285,1.3237988341565234,0.26556234029092707,0.16309525733543012,0.6575399817383517,0.9923903048150997,0.09102588407638601
,,,4,1-10kW,30,3.309238578440504,-0.5760414610274498,0.5298359755987332,0.01899423110764919,0.0024922845867409588,0.008409008880459425,0.15362224888561357,0.9953164779670468,0.03312535181923802,0.0015498164704691557,0.01838494050246714,-0.02822890329742249,0.8024597041558776,0.014417198786821735,0.00019659920644380258,0.0006355987497947387,0.38060874378613874,0.9971646863821159,0.01898060185248454,0.0021227287597446187,0.0311062357582055,0.10825521809973108,0.031697502871624206,0.08480274081690364,0.00817762293397395,0.008409008880459425,0.15362224888561357,0.9953164779670468,0.03312535181923802,0.0015498164704691557,8.939331904795434,0.14280537293980672,0.07954692979786748,32.384222169343644,3.5196315028788483,1.1672320097935545,0.029171031892604,0.9917575897744292,1.5006082795804567,0.022876334290658273
IE2,Normal torque (IEC design N),WEG,2,1-10kW,30,0.0828079691787907,-0.10273360841212699,0.04187423801064627,0.04001618457523804,0.00873690020951178,0.025583079795158246,0.041251250443984276,0.0628440131025313,0.035131508533761624,0.003995589141216567,1.0253056231110815,-0.4652741465941473,0.4818872595729542,0.02448722401592876,0.009920961604010516,0.033657649199219736,-0.050094405387054564,0.061783378204888995,0.022014447653591014,0.0024275837487641484,0.28953490737679655,-0.17194554517626237,0.3359659832156727,0.07381606708865723,0.009929129819799494,0.025583079795158246,0.041251250443984276,0.0628440131025313,0.035131508533761624,0.003995589141216567,1.3608205672896303,0.3002869600090368,0.5401211377668205,15.628104687298254,2.8006665968928157,0.9016530928151556,0.06687447344655675,0.12396657964427016,1.5936549548617498,0.15876849952181327
