motor_id,manufacturer,efficiency_class,starting_torque_category,group_id,frequency_hz,poles,rated_voltage_v,rated_power_w,rated_speed_rpm,rated_current_a,rated_torque_nm,ist_in,mst_mn,mk_mn,r1,p_rot,s_r,s_k,i2_rated,r2_rated,r20,g_r,r2k,x2k,x20,g_x,x2_rated,x1,e_internal,r_m,i0p,i0q,x_m,converged,status,error_type,error_message,elapsed_ms,row_index
WEG_IE1_0p6kW_2P_380V_022,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,550.0,2805.0,1.26,1.87307,6.5,2.3,2.3,,,,,,,,,,,,,,,,,,,,False,error,ZeroDivisionError,float division by zero,0.11,22
WEG_IE1_0p8kW_2P_380V_023,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,750.0,2790.0,1.87,2.56934,5.5,2.7,2.6,13.992837785331167,80.57781227769512,0.07,0.3645591068557824,1.4139781663996283,9.59062561351989,6.861392006123045,0.34725001309021974,9.04958690507713,12.657621424371,2.2432280089703003,2.1706748502814297,18.19667565582804,2.2432280089703003,195.428806453136,1421.9454703017323,0.16105463694781696,0.9053101441139879,215.86945393658317,True,ok,,,0.154,23
WEG_IE1_1p5kW_2P_380V_024,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,1500.0,2770.0,3.37,5.1681,6.0,3.0,2.7,4.882603785017274,148.74962240972536,0.07666666666666666,0.4468460795638745,2.731974531256842,5.561992343194802,3.973474609322414,0.3499996118394442,5.154915643419199,7.363452898210046,3.1344427141375415,1.1483501184109097,9.448950973917182,3.1344427141375415,199.87255722021277,805.6969520173116,0.2247475445720326,1.2941466568232898,154.44351392973888,True,ok,,,0.135,24
WEG_IE1_3p0kW_2P_380V_025,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,3000.0,2830.0,7.13,10.10085,6.2,3.2,3.1,2.2727780529092527,155.6008386106392,0.056666666666666664,0.3535850870738008,5.331123125838409,2.118857069050626,1.7358906295570908,0.20525662459889638,2.047351077466703,3.0474610177769716,1.4630155457158343,0.9126985819324583,3.550049073533688,1.4630155457158343,200.23561138406936,773.0221846685588,0.2493653820569044,4.011072977940809,49.92071011554261,True,ok,,,0.141,25
WEG_IE1_4p0kW_2P_380V_026,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,4000.0,2888.0,9.03,13.23898,7.5,3.4,3.7,2.0437239527262734,167.81406661,0.037333333333333336,0.24825230684256366,6.980788246080689,1.078299651767201,1.0267003074232506,0.04997710878952987,1.0721670917637087,1.1744907160200269,0.5163962656671197,0.947731710932327,1.3086441425610216,0.5163962656671197,201.83313952183514,728.2455582924252,0.3338866175577504,5.223118527354095,38.64226677315686,True,ok,,,0.131,26
WEG_IE1_5p5kW_2P_380V_027,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,5500.0,2870.0,10.9,18.33844,7.7,2.5,3.0,1.0270800876360813,327.6973498107952,0.043333333333333335,0.20762247339070986,9.532609808879409,0.9252470787102043,0.6801212670147969,0.31468334523964986,0.8999942303364484,1.9976805759857519,0.9897556088059996,0.7889449719446585,2.141196169984899,0.9897556088059996,204.55978085965853,383.0794234635557,0.23916648621297476,3.81050590863984,53.6831029170812,True,ok,,,0.182,27
WEG_IE1_5p5kW_2P_380V_028,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,5500.0,2940.0,12.0,17.8481,6.5,2.1,3.1,1.1004258940192744,403.8508050462081,0.02,0.07893237062523878,9.814236629456351,0.40812135089771373,0.6457217995679534,-0.4634622314453642,0.41387895162905625,1.7414703469597663,1.1025459162542401,0.47629155414814217,1.766723246559937,1.1025459162542401,201.01916679713443,300.17549734875956,0.07750983591894212,5.861870116510274,34.29266817614281,True,ok,,,0.177,28
WEG_IE1_5p5kW_2P_380V_029,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,5500.0,2940.0,12.0,17.8481,6.5,2.1,3.1,1.1004258940192744,403.8508050462081,0.02,0.07893237062523878,9.814236629456351,0.40812135089771373,0.6457217995679534,-0.4634622314453642,0.41387895162905625,1.7414703469597663,1.1025459162542401,0.47629155414814217,1.766723246559937,1.1025459162542401,201.01916679713443,300.17549734875956,0.07750983591894212,5.861870116510274,34.29266817614281,True,ok,,,0.155,29
WEG_IE1_7p5kW_2P_380V_030,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,7500.0,2870.0,16.1,25.00696,7.6,3.0,3.0,0.665554090520399,317.14794922028887,0.043333333333333335,0.25256517540566825,12.771973073666114,0.688859622327646,0.5236265811249978,0.28040135521950643,0.6672720703307647,1.6393683697986803,0.6709593644204909,1.0333292802673115,1.8434629269313947,0.6709593644204909,204.39361276023646,395.17911788384583,0.3727228386850516,7.8173135246372265,26.14627290002695,True,ok,,,0.12,30
WEG_IE1_7p5kW_2P_380V_031,WEG,IE1,Normal torque (IEC design N),WEG_IE1_50HZ,50,2,380,7500.0,2935.0,16.2,24.41856,6.8,2.2,3.2,0.9280194538045031,329.7962530095904,0.021666666666666667,0.09012448887490844,13.506334454065174,0.32070300050420614,0.4632633934851235,-0.37183053698376445,0.3249321248725894,1.0762051189577808,0.7125213013614272,0.4323281346776186,1.0927237815458903,0.7125213013614272,200.46043432895894,365.5382864236451,-0.18128782606445704,8.22010362335739,24.38660672833265,True,ok,,,0.135,31
